Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
118,Audi,2009,3.2,Gasolina,Automatico,135533,Usado,15347.99,Q5
120,Audi,2013,2,Diesel,Automatico,103523,Usado,24994.44,Q5
121,Toyota,2008,2,Gasolina,Automatico,97757,Usado,6981.33,Camry
122,Toyota,2002,1.5,Hibrido,Automatico,116925,Usado,6138.56,Prius
123,Tesla,2020,NA,Electrico,Automatico,40560,Usado,42413.41,Model S
124,Toyota,2007,1.8,Gasolina,Manual,129537,Usado,8099.86,Corolla
125,Toyota,2015,1.8,Gasolina,Manual,99630,Usado,13444.5,Corolla
128,Ford,2020,5,Gasolina,Automatico,56671,Usado,29966.73,Mustang
129,Ford,2011,2.3,Gasolina,Automatico,70849,Usado,9628.29,Explorer
130,Toyota,2004,1.8,Gasolina,Automatico,168435,Usado,7565.13,Corolla
131,Ford,2001,5,Gasolina,Manual,132656,Usado,4632.8,Explorer
132,Ford,2015,2,Gasolina,Automatico,106218,Usado,12770.54,Focus
133,Toyota,2004,2.4,Gasolina,Automatico,128491,Usado,5767.57,RAV4
134,Ford,2014,2.3,Gasolina,Manual,60009,Usado,6001.25,Focus
136,Honda,2003,2,Gasolina,Automatico,148230,Usado,5932.96,Accord
138,Honda,2010,2.4,Gasolina,Automatico,136531,Usado,9489.86,Accord
139,Toyota,2015,1.8,Gasolina,Manual,74370,Usado,9655.45,Corolla
140,BMW,2022,3,Diesel,Manual,13903,Usado,38903.3,3 Series
142,Toyota,2013,1.8,Hibrido,Automatico,101707,Usado,15784.06,Prius
143,BMW,2017,2.5,Gasolina,Automatico,41504,Usado,35049.55,5 Series
144,Honda,2011,1.3,Gasolina,Manual,52203,Usado,7257.02,Fit
145,Toyota,2010,2,Gasolina,Manual,96104,Usado,6495.35,Camry
147,Tesla,2020,NA,Electrico,Automatico,26383,Usado,25811.95,Model 3
148,Mercedes,2022,4,Gasolina,Manual,19288,Usado,60003,E-Class
149,Audi,2010,6,Diesel,Automatico,144117,Usado,18241.15,Q7
150,Ford,2022,2.3,Gasolina,Automatico,9261,Usado,15850.58,Focus
151,BMW,2015,1.5,Gasolina,Manual,63803,Usado,13450.8,3 Series
152,Mercedes,2014,2,Gasolina,Automatico,67702,Usado,22134.74,GLA
153,Ford,2020,5.2,Gasolina,Automatico,73533,Usado,34869.52,Mustang
154,Ford,2014,4.6,Gasolina,Manual,66226,Usado,13245.23,Mustang
155,Toyota,2003,2.4,Gasolina,Automatico,124689,Usado,5133.22,Camry
156,Ford,2010,5.8,Gasolina,Manual,131299,Usado,11771.18,Mustang
157,Audi,2018,1.2,Gasolina,Automatico,67399,Usado,19831.38,A3
159,Mercedes,2003,2.6,Gasolina,Automatico,111296,Usado,6287.78,C-Class
160,Ford,2020,1,Gasolina,Automatico,34499,Usado,9176.86,Fiesta
161,Toyota,2012,2.5,Hibrido,Automatico,74435,Usado,11198.53,Camry
162,Audi,2021,1.4,Gasolina,Automatico,11668,Usado,36261.14,A4
163,Honda,2018,1.8,Gasolina,Automatico,66157,Usado,21162.18,Civic
166,Mercedes,2003,2.1,Diesel,Manual,162479,Usado,11247.88,E-Class
168,Ford,2020,3.3,Hibrido,Automatico,34670,Usado,17641.21,Explorer
172,Honda,2002,2.2,Diesel,Manual,142523,Usado,5329.4,CR-V
173,Honda,2007,2.2,Diesel,Manual,126848,Usado,9684.8,CR-V
175,Audi,2009,1.4,Gasolina,Manual,115636,Usado,8563.57,A3
176,Ford,2003,2,Gasolina,Automatico,159842,Usado,3070.27,Fiesta
180,BMW,2012,4.4,Gasolina,Automatico,105388,Usado,32147.21,X5
182,BMW,2010,3,Diesel,Manual,105490,Usado,11471.87,5 Series
184,Audi,2011,3.6,Gasolina,Automatico,66437,Usado,20064.78,Q7
187,Audi,2012,4.2,Gasolina,Manual,62414,Usado,12482.81,A4
190,Audi,2016,2,Diesel,Automatico,30067,Usado,26177.74,Q5
191,BMW,2009,3,Diesel,Manual,81120,Usado,7571.21,X3
192,Audi,2009,2,Diesel,Manual,77925,Usado,9679.32,Q5
193,Tesla,2023,NA,Electrico,Automatico,11258,Usado,69570.8,Model X
194,Ford,2003,1.4,Gasolina,Automatico,141865,Usado,2530.96,Fiesta
198,Honda,2006,3,Gasolina,Automatico,146317,Usado,10223.81,Accord
199,Honda,2021,2.4,Gasolina,Manual,10215,Usado,23920.35,CR-V
202,Toyota,2023,2,Hibrido,Automatico,17748,Usado,27383.42,Prius
203,Audi,2012,1.9,Diesel,Manual,80667,Usado,9133.36,A3
205,BMW,2014,3,Gasolina,Automatico,62414,Usado,13758.69,3 Series
206,BMW,2012,3,Gasolina,Automatico,56793,Usado,14145.44,X3
207,BMW,2022,3,Gasolina,Automatico,10173,Usado,36931.14,X3
208,BMW,2021,3,Gasolina,Manual,28685,Usado,53684.81,3 Series
209,BMW,2021,3,Gasolina,Manual,17729,Usado,57821.21,X5
210,Mercedes,2020,3,Gasolina,Automatico,31789,Usado,28692.64,C-Class
215,BMW,2009,2.2,Gasolina,Manual,113245,Usado,12609.25,5 Series
216,Toyota,2023,1.8,Hibrido,Automatico,12105,Usado,25487.14,Corolla
218,Mercedes,2007,2.6,Gasolina,Automatico,130148,Usado,14298.69,C-Class
220,Toyota,2015,1.8,Hibrido,Automatico,66338,Usado,11451.45,Prius
221,Toyota,2016,2.5,Diesel,Manual,52905,Usado,22897.29,RAV4
222,Ford,2004,1.3,Gasolina,Automatico,131765,Usado,2227.95,Fiesta
224,Toyota,2017,2,Diesel,Automatico,48502,Usado,22932.55,RAV4
225,BMW,2023,3,Gasolina,Automatico,17553,Usado,44680.86,X3
226,Audi,2018,2,Diesel,Automatico,46146,Usado,27685,A4
227,Toyota,2003,1.8,Gasolina,Manual,145268,Usado,5612.2,Corolla
228,Ford,2006,1.6,Gasolina,Manual,117313,Usado,4865.65,Fiesta
230,Mercedes,2017,2,Diesel,Automatico,55442,Usado,40857.76,GLC
231,Ford,2018,3.5,Gasolina,Automatico,42325,Usado,20271.74,Explorer
232,Toyota,2003,1.8,Gasolina,Automatico,141833,Usado,5644.84,Corolla
233,Mercedes,2009,6.2,Gasolina,Manual,138534,Usado,14624.03,C-Class
235,Toyota,2022,2.5,Gasolina,Manual,17380,Usado,24952.05,Camry
236,Ford,2017,1,Gasolina,Manual,55711,Usado,13194.29,Focus
237,Honda,2004,1.5,Gasolina,Automatico,103144,Usado,3840.08,Fit
239,Tesla,2016,NA,Electrico,Automatico,55765,Usado,61381.67,Model X
242,Toyota,2001,1.8,Gasolina,Automatico,149195,Usado,6176.3,Corolla
243,BMW,2000,3.2,Gasolina,Automatico,137313,Usado,7138.4,3 Series
244,Toyota,2022,1.8,Hibrido,Automatico,8905,Usado,24412.2,Prius
245,Mercedes,2020,1.6,Gasolina,Automatico,54341,Usado,39025.33,C-Class
246,Toyota,2016,2,Diesel,Manual,34708,Usado,18529.82,RAV4
248,BMW,2015,1.5,Gasolina,Automatico,100827,Usado,23842.06,3 Series
249,BMW,2004,2.5,Gasolina,Manual,126604,Usado,8091.67,X3
250,Mercedes,2014,2.1,Diesel,Automatico,62986,Usado,20154,GLA
254,Toyota,2009,2,Gasolina,Manual,87571,Usado,5703.01,Camry
256,Toyota,2013,3.5,Gasolina,Automatico,60998,Usado,9082.21,Camry
257,Toyota,2012,2.5,Hibrido,Automatico,107651,Usado,16430.11,Camry
258,Ford,2001,2,Gasolina,Automatico,110273,Usado,2642.5,Focus
259,Toyota,2002,2.4,Gasolina,Manual,104599,Usado,3758.72,Camry
261,Honda,2020,1.2,Gasolina,Manual,47297,Usado,16005.37,Fit
262,BMW,2017,2,Gasolina,Manual,49356,Usado,33046.89,X3
263,Mercedes,2002,6.3,Gasolina,Automatico,138573,Usado,9300.13,E-Class
265,Audi,2021,NA,Electrico,Automatico,19615,Usado,29238.1,A3
266,Toyota,2006,3.3,Gasolina,Manual,145065,Usado,11041.71,Camry
267,Toyota,2008,1.5,Hibrido,Automatico,80988,Usado,6906.54,Prius
268,Ford,2016,1,Gasolina,Manual,47339,Usado,11976.58,Focus
270,Honda,2006,2.4,Gasolina,Automatico,109229,Usado,7442.18,Accord
271,Audi,2023,3,Diesel,Manual,26728,Usado,44775.14,A4
272,BMW,2013,2.5,Gasolina,Manual,50182,Usado,15045.46,5 Series
273,Honda,2018,2,Hibrido,Automatico,30841,Usado,15559.61,CR-V
274,Mercedes,2003,5.5,Gasolina,Automatico,102505,Usado,5512.98,E-Class
276,BMW,2009,2.5,Diesel,Automatico,146782,Usado,18404.47,5 Series
278,Ford,2012,1.6,Diesel,Manual,102148,Usado,9345.63,Fiesta
279,Ford,2013,3.5,Gasolina,Automatico,115974,Usado,19104.56,Explorer
280,Toyota,2003,1.8,Gasolina,Manual,123803,Usado,4136.44,Corolla
282,Mercedes,2004,5.4,Gasolina,Automatico,150538,Usado,10556.47,E-Class
284,BMW,2003,4.9,Gasolina,Manual,139766,Usado,8479.51,5 Series
285,Honda,2002,2,Gasolina,Manual,168597,Usado,6796.1,CR-V
288,Ford,2000,1.5,Gasolina,Automatico,121810,Usado,1929.31,Fiesta
290,Toyota,2008,2.5,Gasolina,Automatico,92478,Usado,6466.64,Camry
291,Toyota,2006,2.4,Gasolina,Manual,126418,Usado,9310.2,Camry
292,BMW,2003,2,Diesel,Automatico,117346,Usado,5565.98,3 Series
293,Ford,2012,3.5,Gasolina,Automatico,97629,Usado,15252.15,Explorer
294,Mercedes,2016,2,Gasolina,Automatico,48341,Usado,41749.22,E-Class
295,Audi,2001,2.4,Gasolina,Automatico,109467,Usado,5408.38,A4
296,Ford,2004,2,Gasolina,Manual,171588,Usado,6263.7,Focus
298,BMW,2020,2,Diesel,Automatico,59111,Usado,48927.13,X5
300,BMW,2005,3,Gasolina,Manual,150538,Usado,9422.06,5 Series
301,Ford,2007,5.4,Gasolina,Automatico,137982,Usado,13149.11,Mustang
302,Honda,2017,2.4,Gasolina,Manual,25917,Usado,13183.34,Accord
303,Ford,2002,4,Gasolina,Automatico,151560,Usado,5856.89,Explorer
304,Tesla,2021,NA,Electrico,Automatico,17138,Usado,38108.26,Model 3
305,Ford,2011,2,Gasolina,Automatico,70310,Usado,9515.13,Explorer
307,Tesla,2021,NA,Electrico,Automatico,6586,Usado,42616.65,Model Y
308,BMW,2005,4.8,Gasolina,Automatico,121810,Usado,7540.1,X5
309,Toyota,2001,1.5,Hibrido,Automatico,135963,Usado,7138.07,Prius
310,Toyota,2022,1.8,Hibrido,Automatico,14303,Usado,26225.94,Prius
312,Honda,2001,1.3,Hibrido,Automatico,153413,Usado,5954.17,Civic
313,Toyota,2005,2,Diesel,Automatico,104698,Usado,3581.67,RAV4
314,Ford,2016,2,Gasolina,Automatico,35717,Usado,10800.43,Focus
315,BMW,2002,2.2,Gasolina,Manual,135335,Usado,8091.78,5 Series
316,Toyota,2001,1.8,Gasolina,Manual,102900,Usado,2699.34,Corolla
317,Toyota,2022,1.8,Hibrido,Automatico,26381,Usado,30283.93,Corolla
318,Honda,2019,1.2,Gasolina,Automatico,67599,Usado,21495.33,Fit
320,Tesla,2021,NA,Electrico,Automatico,19779,Usado,78517.83,Model X
321,Mercedes,2011,3,Diesel,Automatico,64392,Usado,16377.88,C-Class
322,Honda,2003,1.5,Gasolina,Automatico,141783,Usado,5868.6,Fit
323,Ford,2004,1.6,Gasolina,Manual,142789,Usado,2436.84,Fiesta
325,BMW,2014,3,Diesel,Automatico,60310,Usado,14945.55,X3
326,Honda,2022,1.5,Gasolina,Automatico,17316,Usado,26172.62,Accord
327,Toyota,2015,2.5,Diesel,Automatico,100507,Usado,16520.98,RAV4
328,BMW,2009,4.8,Gasolina,Manual,115699,Usado,12969.26,5 Series
329,BMW,2022,1.6,Gasolina,Automatico,6468,Usado,43849.97,5 Series
330,Toyota,2015,2.5,Hibrido,Automatico,82872,Usado,14052.08,RAV4
331,Honda,2011,1.3,Hibrido,Automatico,87778,Usado,11977.8,Civic
332,Toyota,2016,1.8,Gasolina,Manual,48783,Usado,19332.25,Corolla
334,BMW,2011,1.6,Gasolina,Manual,101314,Usado,27828.45,5 Series
335,Audi,2007,3,Gasolina,Manual,139678,Usado,16899.02,Q7
336,Audi,2019,3,Diesel,Manual,40914,Usado,24692.34,A4
337,Ford,2002,3.8,Gasolina,Manual,179026,Usado,10909.56,Mustang
339,Toyota,2012,1.8,Hibrido,Automatico,101743,Usado,15788.47,Prius
340,Toyota,2022,2.2,Diesel,Automatico,10632,Usado,28038.58,RAV4
341,Ford,2018,1,Gasolina,Automatico,33821,Usado,9091.43,Fiesta
342,Ford,2007,2,Gasolina,Automatico,113462,Usado,4906.74,Fiesta
343,Ford,2021,3.7,Gasolina,Automatico,22241,Usado,45005.27,Mustang
344,BMW,2004,4.4,Gasolina,Manual,137168,Usado,8716.81,X5
345,Mercedes,2019,2,Hibrido,Automatico,62284,Usado,48670.2,E-Class
346,Toyota,2007,2,Gasolina,Manual,140661,Usado,10632.83,Camry
347,BMW,2023,2,Diesel,Manual,7231,Usado,43122.86,X5
348,Ford,2011,2,Gasolina,Manual,87843,Usado,9712.35,Focus
349,Toyota,2000,1.6,Gasolina,Automatico,123679,Usado,4334.36,Corolla
350,BMW,2020,NA,Electrico,Automatico,34264,Usado,26222,3 Series
351,Mercedes,2019,4,Gasolina,Automatico,61949,Usado,43714.93,GLC
352,BMW,2005,4.4,Gasolina,Automatico,175957,Usado,13225.47,X5
353,Mercedes,2021,3,Gasolina,Automatico,8194,Usado,40103.44,C-Class
354,Ford,2017,2,Gasolina,Automatico,51479,Usado,13207.62,Focus
356,Toyota,2006,2.4,Gasolina,Manual,136097,Usado,10208.97,Camry
357,Ford,2000,3.8,Gasolina,Manual,168879,Usado,9967.34,Mustang
358,Toyota,2020,2.5,Hibrido,Automatico,49047,Usado,23069.8,RAV4
359,Audi,2015,2.7,Diesel,Manual,64802,Usado,12960.42,A4
360,Honda,2011,3.5,Gasolina,Automatico,50248,Usado,7903.22,Accord
361,Mercedes,2005,2.6,Gasolina,Manual,174394,Usado,11509.51,C-Class
362,Honda,2019,2.6,Gasolina,Manual,34420,Usado,13172.37,Civic
363,Honda,2001,3,Gasolina,Manual,143365,Usado,5376.78,Accord
364,Mercedes,2013,2.1,Hibrido,Automatico,64802,Usado,19362.65,E-Class
365,Ford,2003,1.3,Gasolina,Manual,133298,Usado,2165.67,Fiesta
367,Toyota,2022,1.8,Hibrido,Automatico,9355,Usado,24563.32,Prius
368,BMW,2017,2,Gasolina,Manual,33320,Usado,25919.84,X3
369,Toyota,2012,2.4,Gasolina,Manual,59717,Usado,10295.63,RAV4
370,BMW,2001,4.6,Gasolina,Manual,176034,Usado,12603.4,X5
371,Toyota,2008,1.5,Hibrido,Automatico,99263,Usado,8414.19,Prius
372,Mercedes,2020,2,Gasolina,Manual,51062,Usado,30020.69,GLA
374,BMW,2008,3,Gasolina,Automatico,138085,Usado,14248.67,3 Series
376,Ford,2010,4,Gasolina,Automatico,112737,Usado,7466.82,Explorer
377,Toyota,2002,1.8,Gasolina,Manual,161152,Usado,8350.78,RAV4
378,Toyota,2019,2,Gasolina,Manual,34589,Usado,16209.5,Corolla
379,BMW,2022,NA,Electrico,Automatico,28248,Usado,55910.65,3 Series
380,Ford,2003,1.4,Gasolina,Manual,172961,Usado,3298.88,Fiesta
381,Ford,2017,1.4,Gasolina,Automatico,23586,Usado,7801.85,Fiesta
382,Mercedes,2022,2,Hibrido,Automatico,24698,Usado,57433.12,C-Class
384,Mercedes,2002,5,Gasolina,Manual,157490,Usado,10748.98,E-Class
385,Mercedes,2021,1.3,Gasolina,Manual,9355,Usado,33135.69,GLA
387,Mercedes,2014,3,Diesel,Automatico,94084,Usado,24172.02,C-Class
388,Mercedes,2021,2,Gasolina,Manual,9049,Usado,32915.16,GLA
389,Audi,2004,1.9,Diesel,Manual,154918,Usado,7402.66,A3
390,Ford,2019,2,Gasolina,Automatico,67040,Usado,28764.55,Explorer
391,Mercedes,2009,2.1,Diesel,Automatico,128647,Usado,14109.56,C-Class
392,Ford,2011,5,Gasolina,Manual,116571,Usado,23314.19,Mustang
393,Ford,2014,1.5,Diesel,Manual,109797,Usado,9983.11,Fiesta
394,Honda,2016,2.2,Diesel,Manual,59552,Usado,22283.4,CR-V
395,Audi,2009,3.2,Gasolina,Manual,103315,Usado,11855.57,Q5
397,Toyota,2017,2.5,Diesel,Manual,65867,Usado,26008.19,RAV4
398,BMW,2012,2,Diesel,Manual,103966,Usado,28491.59,5 Series
400,Toyota,2023,1.8,Gasolina,Manual,27177,Usado,29096.77,Corolla
401,Audi,2009,3,Diesel,Manual,130011,Usado,12751.32,A4
402,BMW,2013,3,Diesel,Automatico,93117,Usado,21818.31,3 Series
404,Ford,2002,4.6,Gasolina,Automatico,145906,Usado,5560.05,Explorer
405,BMW,2015,2.5,Gasolina,Automatico,55983,Usado,17320.51,5 Series
406,Ford,2006,4.6,Gasolina,Automatico,155935,Usado,11678.62,Explorer
407,Toyota,2019,2,Gasolina,Manual,39003,Usado,17180.59,Corolla
409,BMW,2008,4.4,Gasolina,Manual,86729,Usado,7407.49,3 Series
410,BMW,2014,4.4,Gasolina,Manual,94084,Usado,27225.17,X5
411,Mercedes,2020,2,Gasolina,Manual,47188,Usado,28729.47,GLA
416,Ford,2017,1.4,Diesel,Manual,61093,Usado,11931.17,Fiesta
417,BMW,2013,2,Hibrido,Automatico,109797,Usado,26196.79,3 Series
418,Toyota,2019,1.8,Hibrido,Automatico,67534,Usado,24630.28,Prius
419,Audi,2017,1.4,Gasolina,Automatico,33858,Usado,23556.42,A4
420,Audi,2009,3,Gasolina,Automatico,75674,Usado,10575.48,Q7
422,Mercedes,2021,2,Gasolina,Automatico,27934,Usado,48837.89,GLA
425,Ford,2013,1.4,Diesel,Automatico,103652,Usado,9944.52,Fiesta
427,Toyota,2013,1.8,Hibrido,Automatico,50539,Usado,9516.06,Prius
428,BMW,2015,2.5,Gasolina,Automatico,68994,Usado,20736.02,5 Series
429,Tesla,2021,NA,Electrico,Automatico,17218,Usado,38151.84,Model 3
430,Audi,2013,3.2,Gasolina,Automatico,89811,Usado,22336.51,Q5
431,Audi,2019,1.5,Gasolina,Manual,92242,Usado,24307.27,A3
433,Toyota,2002,1.5,Hibrido,Automatico,132522,Usado,6957.39,Prius
435,Honda,2005,3,Gasolina,Automatico,149784,Usado,6024.76,Accord
436,Toyota,2012,2,Gasolina,Automatico,102418,Usado,15605.79,Camry
437,Honda,2020,1.5,Hibrido,Automatico,69156,Usado,21855.04,Fit
439,Mercedes,2007,1.8,Gasolina,Automatico,96470,Usado,10055.18,C-Class
440,Honda,2020,2.6,Gasolina,Automatico,51089,Usado,17681.49,Civic
441,Ford,2001,5.4,Gasolina,Manual,141675,Usado,7441.29,Mustang
443,Honda,2014,1.8,Gasolina,Automatico,101536,Usado,13663.2,Civic
445,Mercedes,2012,1.6,Gasolina,Automatico,109305,Usado,28167.57,C-Class
447,Honda,2012,2.2,Gasolina,Manual,68246,Usado,9476.62,Accord
449,Ford,2019,5.2,Gasolina,Automatico,66301,Usado,32766.7,Mustang
450,Honda,2017,2.4,Gasolina,Manual,44850,Usado,18460.91,CR-V
452,Honda,2010,2,Gasolina,Automatico,123881,Usado,8345.19,Civic
453,Toyota,2001,2.2,Gasolina,Automatico,138211,Usado,5931.86,Camry
454,Toyota,2022,2,Gasolina,Manual,21769,Usado,27365.95,Corolla
455,Toyota,2018,2,Diesel,Manual,36659,Usado,18998.2,RAV4
456,Ford,2018,2.3,Gasolina,Automatico,57735,Usado,25567.07,Explorer
457,Mercedes,2004,1.8,Gasolina,Automatico,105152,Usado,5723.36,C-Class
460,Honda,2009,2,Gasolina,Automatico,90135,Usado,6010.13,Accord
462,Honda,2010,2.2,Diesel,Manual,122151,Usado,9215.08,CR-V
463,Ford,2017,3.5,Gasolina,Automatico,35854,Usado,18047.98,Explorer
466,Audi,2008,3,Gasolina,Manual,96388,Usado,12281.35,Q7
467,BMW,2022,2,Diesel,Manual,11929,Usado,36929.21,X3
468,Honda,2018,1.5,Gasolina,Manual,63127,Usado,20625.49,Accord
470,Toyota,2002,1.8,Gasolina,Manual,128155,Usado,4435.63,Corolla
471,BMW,2020,NA,Electrico,Automatico,40363,Usado,29352.9,3 Series
473,BMW,2013,4.8,Gasolina,Automatico,108987,Usado,33280.96,X5
474,Toyota,2018,1.8,Gasolina,Automatico,29852,Usado,15925.82,Corolla
475,Mercedes,2006,5.4,Gasolina,Automatico,119659,Usado,15902.78,E-Class
476,Mercedes,2015,2,Gasolina,Automatico,56082,Usado,17254.41,GLA
477,BMW,2015,3,Gasolina,Manual,64247,Usado,15086.93,X3
